LIDL,Panevėžys,"J.Basanavičiaus g. 67"
LIDL,Vilnius,"Vėtrungių g. 16"
LIDL,Vilnius,"Nidos g. 1"
LIDL,Vilnius,"Sausio 13-osios g. 3"
LIDL,Vilnius,"Dūkštų g. 34 "
LIDL,Šiauliai,"Pramonės g.  1A"
LIDL,Klaipėda,"Taikos pr. 66B"
LIDL,Klaipėda,"Tilžės g. 56B"
LIDL,Kaunas,"Jonavos g. 40"
LIDL,Kaunas,"Šiaurės pr. 1A"
LIDL,Šilutė,"Tilžės g. 22"
Tau," PC",Šiauliai
Maxima,Vilnius,"P.Žvirkos g. 1"
"Rimi Pavilnionių",Vilnius,"Pavilnionių g. 22"
"Rimi Trakai",Trakai,"Vytauto g. 90"
"Baltasis Kampas"," PC",Babtai
"IKI Varėna",Varėna,"Vytauto g. 18"
Norfa,Radviliškis,"Taikos g. 9"
Norfa,Pabradė,"Molėtų g. 4"
Senukai,Lazdijai,"Sodų g. 12"
Norfa,Venta,"Plento g. 2A"
"IKI Naujalis",Raudondvaris,"J.Naujalio g. 20B"
"Urmo prekybos miestelis",Kaunas,"Pramonės pr. 16"
"Rimi Prancūzų",Kaunas,"Prancūzų g. 81"
"Maxima XX",Vilnius,"Santaros g. 5"
"Maxima X",Riešė,"Beržų g. 92"
"Maxima X",Vilnius,"Žaliųjų ežerų g. 207"
Gausa," PC",Baisogala
"IKI Lyra",Šiauliai,"Lyros g. 19A"
Technorama,Klaipėda,"Taikos pr.39"
"Rimi Rygos",Vilnius,"Rygos g. 8"
Norfa,Rūdiškės,"Paluknės g. 1"
LIDL,Visaginas,"Veteranų g. 9"
Malonė," PC",Druskininkai
Norfa,Švenčionėliai,"Žemutinės g. 26"
Norfa,Kybartai,"Vištyčio g. 40"
"Rimi Bendorėliai",Vilnius,"Senasis Ukmergės kl. 46A"
Norfa,Pagėgiai,"Vilniaus g. 18A"
Norfa,Šeduva,"Panevėžio g. 33"
Norfa,Rukla,"Karaliaus Mindaugo g. 10"
Norfa,Tauragė,"Šilalės g. 87C"
"Pašto skyrius",Akmenė,"K.Kasakausko g. 7"
"IKI Gegučių",Kėdainiai,"Gegučių g. 13"
"Rimi Slengiai",Klaipėda,"Dangaus g. 34"
"B and B Hotel",Karmėlava,"Vilniaus g. 52A"
Vasaris," PC",Panevėžys
"Pašto skyrius",Skuodas,"Gedimino g. 6"
"IKI Plungė-Turgus",Plungė,"Laisvės g. 5"
"Rimi Dercekliai",Klaipėda,"Nidos g. 1"
"IKI Venta",Mažeikiai,"Ventos g. 10B"
"Pašto skyrius",Rietavas,"Plungės g. 21"
IKI,Biržai,"Vytauto g. 27"
Senukai,Klaipėda,"Liepų g. 81"
"Pašto skyrius","Kazlų Rūda","J. Basanavičiaus 6A"
"IKI Plytinės",Vilnius,"Saulėtekio al. 43"
KOOPS,Jašiūnai,"M.Balinsko g. 2"
Norfa,Lentvaris,"Klevų al. 4"
"IKI Lentvaris",Lentvaris,"Geležinkelio g. 38-1"
Aibė,Mastaičiai,"Mokslo g. 11"
"IKI Vilkija",Vilkija,"Čekiškės g. 98"
